"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"562","030-013","604134","40.28114","141.51687","40.29879","141.52114","237","21.75243511","0","0","0","0","33864.465"
"563","030-015","604136","40.31161","141.77056","40.32272","141.76938","60.3","1.063622974","0","0","0","0","33699.367"
"564","030-017","604027","40.19137","140.95122","40.20062","140.95053","403","60.87460916","1","0","3","3","46158.547"
"565","030-019","604121","40.21402","141.14985","40.20865","141.15515","329.5","47.10291351","0","0","0","0","38770.438"
"566","030-021","604123","40.23747","141.38522","40.23084","141.4124","478","33.81045691","1","0","2","3","35100.418"
"567","030-022","604124","40.2267","141.52071","40.23991","141.53155","446","23.5473039","-1","1","0","3","34281.297"
"568","030-028","604111","40.14639","141.14803","40.14407","141.13763","342","53.20135674","0","0","0","0","40031.75"
"569","030-030","604113","40.09034","141.41743","40.10158","141.4464","365","34.0399523","0","0","0","0","36103.047"
"570","030-033","604116","40.09265","141.75288","40.09663","141.76236","278.7","6.384551027","0","0","0","0","35655.414"
"571","030-037","604100","40.07795","141.06103","40.06461","141.06216","354","63.68925541","0","0","0","0","43986.027"
"572","030-039","604102","40.08587","141.36226","40.068747","141.381478","526.6","38.66114785","0","0","0","0","36270.035"
"573","030-041","604104","40.043769","141.559164","40.03615","141.57243","926","23.54664999","1","0","1","3","35865.062"
"574","030-042","604105","40.06305","141.65356","40.07308","141.68041","376.6","15.23246383","0","0","0","0","35806.773"
"575","030-044","604107","40.00838","141.90746","40.01514","141.89755","4.5","0.1214689425","0","0","0","0","35992.004"
"576","030-047","594170","39.99483","141.02809","39.98487","141.03199","386","68.91085511","0","0","0","0","45400.297"
"577","030-052","594175","39.95207","141.72813","39.96781","141.74624","508.7","15.63072824","1","0","1","3","35330.215"
"578","030-054","594177","39.97898","141.95234","39.99419","141.93644","166.9","0.3159880528","1","0","2","3","36203.383"
"579","030-056","594067","39.87234","140.90641","39.87425","140.92162","954.7","74.16540891","0","0","0","0","49664.406"
"580","030-058","594161","39.88736","141.22557","39.88959","141.21246","304","55.99027115","0","0","0","0","39371.453"
"581","030-059","594162","39.87523","141.37052","39.87375","141.34559","524","45.37582208","0","0","0","0","35702.75"
"582","030-060","594163","39.86714","141.43412","39.85564","141.44609","606","41.21646405","0","0","0","0","35581.152"
"583","030-061","594164","39.84453","141.51271","39.86028","141.51181","911","37.2810457","1","0","1","3","35405.38"
"584","030-064","594167","39.881836","141.965736","39.86469","141.94211","137.1","0.4409498978","0","0","0","0","36818.555"
"585","030-068","594151","39.79149","141.19371","39.78336","141.18232","258","63.1296621","0","0","0","0","40025.777"
"586","030-071","594154","39.80422","141.5973","39.79901","141.61758","401","32.04190691","0","0","0","0","35309.76"
"587","030-075","594157","39.77564","142.00337","39.75727","141.988","63.2","0.1194428105","0","0","0","0","37605.516"
"588","030-077","594047","39.74762","140.90464","39.73878","140.91091","463.6","72.6722666","0","0","0","0","46295.08"
"589","030-078","594140","39.72368","141.03991","39.72253","141.05336","228.1","78.30814744","0","0","0","0","41300.9"
"590","030-080","594142","39.71271","141.30123","39.70943","141.27876","408","56.72597877","0","0","0","0","37148.695"
"591","030-081","594143","39.67883","141.45299","39.70101","141.4522","1068","43.20869797","0","0","0","0","35263.176"
"592","030-082","594144","39.70688","141.54586","39.71601","141.57324","1147","36.29489681","1","0","1","3","35557.336"
"593","030-086","594147","39.7509","141.99844","39.73792","141.98256","70.2","0.1514653355","0","0","0","0","37795.523"
"594","030-088","594037","39.61425","140.89336","39.629219","140.913739","286","71.49114895","1","0","1","3","41917.77"
"595","030-089","594130","39.61631","141.06097","39.61748","141.07331","449.8","76.00392659","0","0","0","0","38954.863"
"596","030-091","594132","39.6562","141.37021","39.65634","141.3409","977","49.81218508","0","0","0","0","35367.93"
"597","030-094","594135","39.6082","141.65129","39.5922","141.66494","216","25.30474054","0","0","0","0","36749.637"
"598","030-097","594230","39.65472","142.02489","39.63851","142.01407","44.6","0.1377632572","1","0","1","3","38570.242"
"599","030-099","594026","39.51749","140.80188","39.50795","140.80707","411","64.34297127","1","0","1","3","42772.918"
"600","030-101","594120","39.52098","141.01768","39.5199","141.03116","303.6","77.97375584","0","0","0","0","39357.7"
"601","030-104","594123","39.54069","141.49564","39.53951","141.46702","1246.3","39.21364962","1","0","4","3","35964.96"
"602","030-106","594125","39.53985","141.66042","39.55951","141.66095","275","25.32586778","0","0","0","0","36990.324"
"603","030-107","594126","39.55681","141.79924","39.56095","141.82299","381.1","13.30672545","0","0","0","0","38340.266"
"604","030-108","594127","39.58433701","141.9465034","39.56182628","141.9443148","7.4","0.5853189041","0","0","0","0","39004.39"
"605","030-109","594220","39.5625","142.02164","39.53974","142.03666","22.1","1.608727775","0","0","0","0","38981.76"
"606","030-112","594017","39.4983","140.88952","39.49123","140.89476","679","72.09570079","1","0","7","3","41589.17"
"607","030-113","594110","39.47347","141.05053","39.46351","141.06417","226.6","72.18898249","0","0","0","0","38842.574"
"608","030-115","594112","39.49742","141.29776","39.49128","141.30309","278","54.7956116","0","0","0","0","36057.09"
"609","030-118","594115","39.44522","141.6713","39.45584","141.676","785.4","23.05271339","0","0","0","0","37206.527"
"610","030-121","594210","39.46487193","142.0123536","39.47786","142.03397","56.4","0.2625590778","0","0","0","0","38637.906"
"611","030-123","594006","39.356489","140.795728","39.375133","140.813581","289","66.6327233","0","0","0","0","42873.297"
"612","030-126","594101","39.37529","141.21276","39.37222","141.19914","113","54.72754225","0","0","0","0","37039.016"
"613","030-128","594103","39.39123","141.42022","39.384","141.40924","669","41.46775745","0","0","0","0","36006.965"
"614","030-129","594104","39.41605","141.61785","39.39313","141.61194","440","25.80880813","0","0","0","0","36711.715"
"615","030-131","594106","39.39554","141.75919","39.39251","141.78502","629.3","13.73771212","1","0","1","3","37892.234"
"616","030-132","594107","39.39683","141.91016","39.38216","141.92938","210.5","2.737277843","1","0","4","3","38610.09"
"617","030-135","584076","39.26924","140.77014","39.257003","140.773014","344","66.3251212","1","0","1","3","43247.375"
"618","030-138","584171","39.26199","141.14583","39.27313","141.14315","102.1","50.56013013","0","0","0","0","37514.22"
"619","030-139","584172","39.3104","141.3246","39.30652","141.33391","228.1","43.05753004","-1","1","0","3","35898.176"
"620","030-142","584175","39.27458","141.67884","39.25929","141.65388","565","17.90331802","1","0","2","3","36972.047"
"621","030-144","584177","39.316275","141.969025","39.31689","141.94492","107.5","0.3392632265","0","0","0","0","38363.156"
"622","030-146","584067","39.21676","140.89095","39.21224","140.88242","568","67.86313689","1","0","2","3","41669.465"
"623","030-148","584161","39.23603","141.1973","39.22514","141.20384","69.3","45.26730538","0","0","0","0","36307.656"
"624","030-150","584163","39.19839","141.39541","39.18081","141.38856","780","29.5742577","0","0","0","0","34192.035"
"625","030-152","584165","39.18731","141.73094","39.17854","141.7419","971","10.27771087","0","0","0","0","36853.04"
"626","030-153","584166","39.22119","141.82734","39.21194","141.84802","120.9","3.793216982","0","0","0","0","37852.613"
"627","030-156","584057","39.125136","140.909333","39.13245","140.907712","373.5","62.61143058","0","0","0","0","41467.203"
"628","030-157","584150","39.1404","141.01043","39.14211","141.03249","195.4","55.39612367","1","0","2","3","40188.754"
"629","030-159","584152","39.12792","141.29567","39.12536","141.28483","457","31.79903759","0","0","0","0","34306.62"
"630","030-161","584154","39.1151","141.54375","39.14247","141.55007","222.8","14.44470877","1","0","1","3","34287.69"
"631","030-162","584155","39.12888","141.63635","39.13118","141.66521","164.1","10.20421463","0","0","0","0","35222.965"
"632","030-163","584156","39.16656","141.77966","39.15669","141.80453","462.1","5.486251097","0","0","0","0","37260.258"
"633","030-168","584141","39.017222","141.173428","39.02497","141.17887","465.8","36.9679168","0","0","0","0","37149.523"
"634","030-170","584143","39.04568","141.40531","39.03674","141.40419","317","19.6664409","1","0","1","3","32730.215"
"635","030-173","584146","39.06124","141.84052","39.05984","141.81891","69","0.08014146826","1","0","1","3","37178.21"
"636","030-176","584037","38.96872","140.91318","38.97158","140.92895","250.4","56.46642525","0","0","0","0","40503.55"
"637","030-178","584131","38.96347","141.21913","38.95407","141.21477","80","31.54519426","0","0","0","0","35540.57"
"638","030-181","584134","38.96202","141.52224","38.978633","141.529758","120.9","7.752686199","0","0","0","0","33186.832"
"639","030-182","584135","38.95374","141.72318","38.951522","141.710428","18.8","0.213998515","0","0","0","0","35175.516"
"640","030-185","584121","38.89696","141.23988","38.89169367","141.2284922","85.6","27.26180434","0","0","0","0","34690.85"
"641","030-186","584122","38.87866946","141.3008596","38.88626","141.29584","149","21.62177074","0","0","0","0","33188.57"
"642","030-187","584123","38.86678","141.40108","38.86534","141.40845","359.1","13.58541388","0","0","0","0","31872.965"
"643","040-005","584134","38.9514","141.51904","38.96","141.5246","102.2","7.030835693","0","0","0","0","33101.85"
"644","040-008","584025","38.84852","140.64579","38.849744","140.632636","326","64.24144995","0","0","0","0","40348.785"
"645","040-009","584026","38.8687","140.771808","38.847172","140.777689","311.6","60.52014149","0","0","0","0","40198.293"
"646","040-011","584120","38.841964","141.003711","38.864314","141.004742","70.3","42.6425186","0","0","0","0","38378.27"
"647","040-014","584123","38.87751","141.50981","38.87699","141.52264","459","6.502587889","0","1","2","4","32682.377"
"648","040-017","584015","38.82982","140.73331","38.81257","140.73906","494.8","58.32073413","0","0","0","0","39893.336"
"649","040-018","584016","38.77672","140.8616","38.7921","140.84941","133.4","47.98779936","1","0","1","4","38891.11"
"650","040-023","584113","38.79845","141.44713","38.8219","141.44241","128.3","6.527197984","0","0","0","0","32279.484"
"651","040-029","584007","38.69271","140.93185","38.69396","140.90048","56.5","37.06007894","0","0","0","0","37242.242"
"652","040-030","584100","38.72498","141.08377","38.7467","141.09751","8.1","31.9157985","0","0","0","0","36867.51"
"653","040-031","584101","38.70266","141.15038","38.70173","141.17729","16.9","25.81508177","0","0","0","0","36234.855"
"654","040-032","584102","38.72034","141.32476","38.72851","141.34991","49.6","11.65037143","0","0","0","0","33044.96"
"655","040-034","584104","38.6932","141.50123","38.69868","141.51027","8.6","0.3294922264","0","0","0","0","33183.93"
"656","040-036","574075","38.60422","140.68546","38.597633","140.668417","126","41.9695125","0","0","0","0","37296.676"
"657","040-038","574077","38.63778","140.89542","38.6419","140.92323","43.1","32.81021174","0","0","0","0","36917.043"
"658","040-039","574170","38.59298","141.06718","38.59078","141.10546","10.8","23.20381575","0","0","0","0","36322.184"
"659","040-042","574173","38.61198","141.38603","38.609492","141.391881","292.7","6.151265095","0","0","0","0","32780.26"
"660","040-046","574066","38.52608","140.77489","38.53277","140.79652","149.6","30.54026844","0","0","0","0","36524.664"
"661","040-048","574160","38.57796","141.08548","38.57776","141.11359","44.6","21.35925851","0","0","0","0","36290.543"
"662","040-051","574163","38.52974","141.40821","38.50361","141.40542","0.8","5.262339103","0","0","0","0","32957.004"
"663","040-052","574164","38.51534","141.51202","38.53567","141.50133","4.4","0.2793234915","0","0","0","0","33539.457"
"664","040-055","574056","38.46295","140.75814","38.47279","140.77144","193","27.84520149","0","0","0","0","36328.816"
"665","040-057","574150","38.43763","141.0001","38.44405","141.02947","9.4","9.316965796","0","0","0","0","36504.38"
"666","040-059","574152","38.48909","141.27043","38.497372","141.258572","1.9","7.688609109","0","0","0","0","34150.426"
"667","040-060","574153","38.44465","141.37817","38.45675","141.38444","7","3.815536287","0","0","0","0","33153.297"
"668","040-063","574045","38.39463","140.63659","38.41454","140.63491","761","34.43938599","0","0","0","0","36195.008"
"669","040-065","574047","38.36622","140.92866","38.37323","140.93278","62.5","9.86168518","0","0","0","0","36495.28"
"670","040-067","574141","38.34244","141.16413","38.36356","141.15813","20.3","0.152073042","0","0","0","0","35822.47"
"671","040-070","574144","38.38363","141.4974","38.39074","141.51614","36.2","0.1836740028","-1","1","0","4","33457.258"
"672","040-072","574034","38.27288","140.54853","38.29215","140.53295","369","37.77064274","0","0","0","0","36535.996"
"673","040-076","574130","38.25732","141.01251","38.26044","141.01587","2.9","0.5185758825","0","0","0","0","36661.004"
"674","040-079","574134","38.306956","141.514858","38.311597","141.527186","19.7","1.109407199","0","0","0","0","33496.023"
"675","040-082","574025","38.20911","140.64986","38.19463","140.64205","163.5","26.96983166","1","0","10","4","36306"
"676","040-083","574026","38.23356","140.82857","38.24223","140.83179","61.9","13.14577758","0","0","0","0","36691.48"
"677","040-084","574027","38.23666","140.97191","38.2402","140.97274","0.1","2.169728553","0","0","0","0","36726.35"
"678","040-088","574013","38.12308","140.46212","38.12061","140.46124","1460.2","41.0706988","0","0","0","0","37409.09"
"679","040-089","574014","38.12595","140.54294","38.12764","140.52075","450.3","34.06287667","0","0","0","0","36854.26"
"680","040-092","574017","38.12789","140.93336","38.12276","140.93299","0.5","0.8577924708","0","0","0","0","36989.094"
"681","040-093","574002","38.02893","140.28702","38.02257","140.3032","532","55.24381624","0","0","0","0","40571.875"
"682","040-094","574003","38.034239","140.48105","38.0226","140.47004","562.4","38.30404409","0","0","0","0","37596.32"
"683","040-096","574005","38.04681","140.7352","38.04035","140.71529","18.7","16.39641183","0","0","0","0","36966.754"
"684","040-097","574006","38.07207","140.76983","38.073425","140.7541972","12.6","13.63818832","0","0","0","0","36948.227"
"685","040-099","564072","37.978161","140.312175","37.966525","140.319192","501","52.94213718","0","0","0","0","39947.336"
"686","040-100","564073","37.97886","140.4655","37.97619","140.45292","312","39.4787592","0","1","1","4","37958.57"
"687","040-101","564074","37.94782778","140.5596361","37.93524","140.56457","251.4","31.46705284","0","0","0","0","37451.574"
"688","040-104","564077","37.98596","140.9065","37.97276","140.91092","0.3","0.9172408626","0","0","0","0","37650.22"
"689","040-107","564065","37.84481","140.699","37.85192","140.71769","418","21.09881963","0","0","0","0","37929.008"
"690","040-108","564066","37.853369","140.766872","37.840014","140.755864","274","15.0707998","0","0","0","0","38188.035"
"691","050-007","604053","40.447264","140.427231","40.427178","140.411567","640","35.7119388","0","0","0","0","45212.637"
"692","050-008","604054","40.45894","140.58781","40.43896","140.57091","206","43.1519258","1","0","4","2","42957.72"
"693","050-012","603947","40.40722","139.96108","40.41371","139.94812","3","0.2257122241","0","0","0","0","48295.75"
"694","050-013","604040","40.39593","140.02572","40.40788","140.04096","56","2.623785648","0","0","0","0","47995.17"
"695","050-015","604042","40.359425","140.254828","40.337039","140.242342","210","19.57538317","0","0","0","0","47166.01"
"696","050-016","604043","40.40359","140.40001","40.424547","140.413164","473","32.37181674","1","0","1","5","46028.89"
"697","050-017","604044","40.36391","140.57413","40.377214","140.580072","116","46.65386174","0","0","0","0","44130.934"
"698","050-020","604047","40.38139","140.89144","40.39093","140.89595","388.8","50.97337024","1","0","4","5","41662.51"
"699","050-022","604031","40.31353","140.16053","40.30234","140.16053","256","11.54832093","1","0","5","5","47865.207"
"700","050-023","604032","40.31487","140.29107","40.31923","140.29425","62.3","22.60042482","0","0","0","0","47558.312"
"701","050-025","604034","40.27831","140.59694","40.28212","140.58621","111.2","48.85878949","0","0","0","0","45712.465"
"702","050-030","604020","40.17815","140.07028","40.17846","140.09577","31.9","6.525397458","0","0","0","0","48402.52"
"703","050-033","604023","40.21414","140.38552","40.23141","140.39736","38","31.57762363","0","0","0","0","48235.47"
"704","050-035","604025","40.22928","140.67532","40.24933","140.66223","88.9","56.24901752","1","0","3","5","47446.715"
"705","050-036","604026","40.245672","140.750631","40.22802","140.77151","98.3","62.29023257","0","0","0","0","46551.91"
"706","050-039","604010","40.16554","140.06389","40.166736","140.050633","35","6.25227872","0","0","0","0","48486.938"
"707","050-042","604013","40.1393","140.39157","40.156208","140.409269","81.3","33.29006699","0","0","0","0","48958.28"
"708","050-046","604017","40.1247","140.96289","40.11443","140.95984","350","65.15512062","1","0","1","3","47231.797"
"709","050-047","593975","40.00492","139.70185","39.98628","139.6985","31.7","0.2899092167","-1","1","0","5","46669.836"
"710","050-048","603907","40.00918","139.94262","40.00945","139.95052","1.4","3.351071477","0","0","0","0","53018.16"
"711","050-050","604001","40.03589","140.16455","40.018","140.1806","44","18.90434794","0","0","0","0","50622.1"
"712","050-051","604002","40.02781","140.31381","40.02881","140.3475","85.4","31.05854552","0","0","0","0","51805.785"
"713","050-053","604004","40.0666361","140.5756008","40.04695","140.5906","464","50.6938905","1","0","1","5","52246.62"
"714","050-054","604005","40.05257","140.70631","40.036419","140.717919","395","61.76357848","1","0","1","5","52534.5"
"715","050-055","604006","40.072517","140.781114","40.048758","140.777381","296.7","67.29813975","0","0","0","0","52088.86"
"716","050-057","593976","39.95359","139.75882","39.94044","139.75865","77","2.25032831","-1","1","0","5","48161.074"
"717","050-059","594070","39.92488","140.12028","39.9267","140.10856","39","12.97512327","0","0","0","0","54921.78"
"718","050-063","594074","39.98469","140.61646","39.96471","140.61195","650","53.64866129","0","0","0","0","53481.203"
"719","050-064","594075","39.988792","140.613517","39.966167","140.629481","661","53.5855933","0","0","0","0","53409.855"
"720","050-065","594076","39.97235","140.799072","39.963356","140.772681","1003.2","67.80188998","0","0","0","0","52392.02"
"721","050-068","593967","39.90189","139.932","39.9069","139.91303","5.3","0.9537662368","0","0","0","0","53729.8"
"722","050-070","594061","39.87334","140.19042","39.877033","140.200269","191","15.37832486","0","2","1","5","56599.195"
"723","050-071","594062","39.91541","140.31901","39.904534","140.357701","227","27.28376669","0","0","0","0","53673.78"
"724","050-072","594063","39.864944","140.436708","39.876514","140.444303","273","34.65356689","0","0","0","0","53933.293"
"725","050-079","594052","39.80686","140.26871","39.79793","140.27459","257","19.12280822","0","0","0","0","54752.633"
"726","050-080","594053","39.80454","140.37646","39.81954","140.37803","279","28.20420648","1","0","2","5","53023.324"
"727","050-081","594054","39.77948","140.54266","39.77797","140.52823","291","41.95830263","0","0","0","0","52695.195"
"728","050-083","594056","39.80077","140.79395","39.8054","140.80073","776.1","63.61024311","1","0","7","5","50703.41"
"729","050-084","594040","39.71023","140.06557","39.71823","140.079","9.1","2.417660828","0","0","0","0","57566.137"
"730","050-085","594041","39.73318","140.13399","39.73602","140.1403","13.3","6.596106174","0","0","0","0","57485.34"
"731","050-089","594045","39.7414","140.68848","39.74971","140.66535","250.8","54.1352203","1","0","3","5","50082.297"
"732","050-091","594030","39.66542","140.07555","39.648075","140.090064","105.7","1.16900881","0","0","0","0","57653.22"
"733","050-093","594032","39.58964","140.27677","39.61823","140.28587","19.4","18.65193861","0","0","0","0","50351.305"
"734","050-094","594033","39.6302","140.43895","39.64534","140.46294","152","32.54911236","0","0","0","0","47235.812"
"735","050-096","594035","39.609275","140.652561","39.60965","140.67097","91.4","50.81147231","0","0","0","0","45040.863"
"736","050-099","594021","39.53246","140.14883","39.52965","140.16003","157","8.980973257","1","0","3","5","55337.3"
"737","050-103","594025","39.54173","140.72311","39.55309","140.72914","622","57.32085662","0","0","0","0","43588.22"
"738","050-106","594011","39.4654","140.23351","39.470078","140.238435","52.7","16.72697914","0","0","0","0","49757.566"
"739","050-107","594013","39.467222","140.438697","39.462244","140.458353","185","34.0590313","0","0","0","0","46089.688"
"740","050-109","594014","39.42995","140.61162","39.43068","140.6139","152.1","49.407976","0","0","0","0","44975.777"
"741","050-110","594015","39.465636","140.645956","39.456367","140.653208","208","51.77292273","0","0","0","0","44564.387"
"742","050-112","594000","39.40525","140.0442","39.40148","140.05398","147.2","2.280100766","0","0","0","0","53351.07"
"743","050-114","594002","39.40422","140.31446","39.40652","140.2936","108.7","24.93733842","1","0","1","5","48326"
"744","050-120","584071","39.28119","140.2382","39.26735","140.2115","123","21.90321862","1","0","3","5","49449.08"
"745","050-121","584072","39.30384","140.30917","39.31668","140.3392","155","26.9521569","0","0","0","0","48351.977"
"746","050-123","584074","39.26954","140.56193","39.26242742","140.5813844","110","48.91752819","1","0","1","5","44876.766"
"747","050-126","583967","39.21448","139.90502","39.2267","139.91725","0.8","0.7969680342","0","0","0","0","52680.625"
"748","050-127","584060","39.25246","140.07685","39.23797","140.06711","303","10.62093563","0","0","0","0","51354.79"
"749","050-129","584062","39.199369","140.296506","39.192367","140.297581","316","30.07326561","0","0","0","0","47087.16"
"750","050-131","584064","39.17521","140.52146","39.17511","140.53334","125.2","48.94299383","1","0","1","5","44632.387"
"751","050-137","584051","39.116794","140.152428","39.097397","140.168222","403.9","22.47854986","1","0","1","5","47513.086"
"752","050-141","584055","39.111678","140.718081","39.096778","140.70615","345","67.34635842","0","0","0","0","43734.266"
"753","050-145","584042","39.0675","140.335122","39.06799","140.33168","566","39.18399041","0","0","0","0","44857.938"
"754","050-145b","584042","39.071722","140.329194","39.068833","140.068833","366","38.55753474","0","0","0","0","44871.938"
"755","050-146","584043","39.03664","140.41198","39.02568","140.40786","223","46.56741379","0","0","0","0","43292.79"
"756","050-148","584045","39.057111","140.648775","39.078842","140.666392","268","64.37193756","0","0","0","0","43837.535"
"757","050-149","584046","39.03856","140.85586","39.0514","140.85298","506.9","64.06806831","1","0","1","3","41676.8"
"758","050-152","584035","38.97802","140.71258","38.96748","140.71503","677","71.99613592","0","0","0","0","41777.312"
"759","060-003","583957","39.139017","139.904478","39.12976","139.91974","132.6","1.860108171","0","0","0","0","51004.605"
"760","060-006","583947","39.01746","139.97376","39.0222","139.96711","123.2","10.50354498","0","0","0","0","50253.66"
"761","060-007","584040","39.03808","140.02634","39.04652","140.03419","666.1","13.8035978","0","0","0","0","49306.26"
"762","060-010","583936","38.984385","139.84534","38.98502","139.84047","3.3","0.4438348322","0","0","0","0","54396.605"
"763","060-013","584031","38.9763","140.15838","38.98488","140.1549","209.6","26.85566736","0","2","4","6","48625.098"
"764","060-014","584032","38.97692","140.29749","38.984553","140.299389","216.4","38.24762893","1","0","1","6","45379.758"
"765","060-017","583927","38.91006","139.96159","38.91789","139.95489","49.2","12.09244775","0","0","0","0","53880.234"
"766","060-019","584021","38.84294","140.17953","38.84771","140.1606","92.3","32.40377478","0","0","0","0","48531.883"
"767","060-021","584023","38.86171","140.44545","38.87788","140.45485","444","53.90791163","0","0","0","0","40638.4"
"768","060-024","583916","38.80453","139.76524","38.83038","139.7782","9.4","0.5396548466","0","0","0","0","60773.3"
"769","060-026","584010","38.7948","140.01977","38.7846","140.03706","28.2","21.43561542","1","0","1","6","55494.574"
"770","060-029","584013","38.805","140.464","38.8219","140.4743","272","57.07720653","0","0","0","0","40121.03"
"771","060-030","584014","38.77653","140.56927","38.78563","140.58824","353.6","62.36139009","1","0","5","6","39873.2"
"772","060-033","583905","38.68427","139.68361","38.67788","139.67258","88.1","3.058391494","1","0","1","6","61589.594"
"773","060-034","583906","38.67959","139.80756","38.68128","139.7967","233.5","11.04823794","1","0","7","6","63351.188"
"774","060-037","584001","38.70771832","140.2216377","38.70048","140.20302","46.9","41.05553227","0","0","0","0","46620.766"
"775","060-038","584002","38.72416","140.32796","38.72746","140.33873","120.5","49.32257983","1","0","1","6","41308.844"
"776","060-042","573974","38.60499","139.59812","38.61121","139.59319","107.8","2.066226031","0","1","4","6","59598.844"
"777","060-049","574073","38.59354","140.44608","38.59343","140.44136","140.8","58.67687442","0","0","0","0","38442.348"
"778","060-052","573965","38.53934","139.70086","38.53295","139.70416","310","13.11478814","1","0","3","6","59992.5"
"779","060-053","573966","38.5279","139.76831","38.53188","139.75737","209","19.04710069","0","0","0","0","60954.875"
"780","060-054","573967","38.53491","139.95794","38.54109","139.98047","746.3","31.3287061","0","0","0","0","61240.44"
"781","060-055","574060","38.54251","140.0125","38.54685","140.02664","1689.7","34.39473558","0","0","0","0","59510.668"
"782","060-056","574061","38.517664","140.160075","38.530506","140.172561","811","45.97666834","0","0","0","0","52517.766"
"783","060-057","574062","38.56157","140.29429","38.55052","140.2758","266.4","53.23960895","0","0","0","0","43568.273"
"784","060-059","574064","38.56044","140.53635","38.55948","140.55421","287.1","50.00863901","0","0","0","0","37663.793"
"785","060-061","573956","38.48582","139.83629","38.481136","139.843306","443.7","25.90428073","1","0","12","6","60958.9"
"786","060-063","574050","38.48535","140.02004","38.49867","140.02086","711.5","39.04674192","0","0","0","0","58474.215"
"787","060-065","574052","38.44032","140.33156","38.43503","140.3447","82.4","61.22213594","0","0","0","0","40267.504"
"788","060-067","574054","38.43208","140.58118","38.44633","140.58488","1202","40.56161906","0","0","0","0","36676.336"
"789","060-070","573947","38.38623","139.95019","38.39142","139.93706","576.9","39.02687638","0","0","0","0","57067.516"
"790","060-072","574041","38.38766","140.21102","38.39318","140.20562","188.1","58.68393669","0","0","0","0","47520.926"
"791","060-074","574043","38.36354","140.46288","38.35811","140.47451","337.2","47.95177191","0","0","0","0","37127.598"
"792","060-077","573937","38.30315","139.94703","38.29181","139.94969","956.5","42.87824148","0","0","0","0","55010.543"
"793","060-078","574030","38.2855","140.04202","38.28289","140.02597","356","51.30003644","0","0","0","0","53472.19"
"794","060-081","574033","38.31306","140.44248","38.31879","140.46111","241","47.93371167","0","0","0","0","37201.715"
"795","060-085","573927","38.19836","139.90794","38.20516","139.91172","601","40.3200823","0","0","0","0","54009.508"
"796","060-087","574021","38.24129","140.20048","38.23995","140.18512","584","65.66688014","0","0","0","0","47848.832"
"797","060-089","574023","38.22616","140.45105","38.22839","140.45886","599.8","44.24359882","0","0","0","0","37294.78"
"798","060-091","573916","38.09424","139.81388","38.09469","139.82397","206.8","35.03508101","0","0","0","0","53295.645"
"799","060-094","574011","38.11433","140.22933","38.12188","140.23397","281.8","61.22773422","0","0","0","0","44224.355"
"800","060-095","574012","38.11917","140.3389","38.12442","140.34735","334.2","51.77797538","0","0","0","0","39687.305"
"801","060-099","573907","38.01964","139.90758","38.04384","139.9029","384.7","45.60836158","1","0","1","6","51840.36"
"802","060-100","574000","38.08492","140.09604","38.06616","140.09728","293","59.10973061","1","0","3","6","48807.98"
"803","060-104","563975","37.93692","139.65877","37.9201","139.68001","377","31.41914571","0","0","0","0","55129.766"
"804","060-108","564071","37.99457","140.20342","37.97133","140.21514","230.3","62.46126221","0","0","0","0","43614.395"
"805","060-110","563965","37.91864","139.68093","37.89966","139.66784","449.4","34.19746837","0","0","0","0","55073.55"
"806","060-111","563966","37.90374","139.82608","37.896922","139.846819","461","45.78066596","0","0","0","0","54226.023"
"807","060-112","563967","37.87722","139.88588","37.85344","139.88774","447.6","51.7573158","0","0","0","0","53343.215"
"808","060-113","564060","37.87722","140.02022","37.84336","140.0212","385.7","61.67100942","0","0","0","0","48537.61"
"809","070-005","564062","37.86335","140.36975","37.84247","140.36927","365","49.07563107","0","0","0","0","39255.387"
"810","070-006","564063","37.88074","140.40515","37.8748","140.43227","329","45.76042583","0","0","0","0","38904.906"
"811","070-007","564064","37.84822","140.56242","37.86082","140.58414","50.3","32.64408715","0","0","0","0","37907.445"
"812","070-008","564065","37.904394","140.710256","37.916083","140.716328","335.8","18.79512126","0","0","0","0","37601.523"
"813","070-015","564051","37.75901","140.14191","37.751578","140.143767","1668","70.94263737","0","0","0","0","42898.78"
"814","070-017","564053","37.77114","140.47352","37.76894","140.47026","129.4","42.2832917","1","0","1","7","37443.97"
"815","070-018","564054","37.77028","140.51583","37.7712","140.52656","82.6","38.73370268","0","0","0","0","37116.21"
"816","070-019","564055","37.76035","140.69088","37.77058","140.68423","515","24.80244258","0","0","0","0","37601.55"
"817","070-020","564056","37.82601","140.87144","37.81777","140.85668","63.7","7.308750671","1","0","2","7","38642.652"
"818","070-021","564057","37.80894","140.93133","37.81522","140.96339","7.4","3.544843204","0","0","0","0","38375.465"
"819","070-024","563945","37.71974","139.69506","37.75293","139.68369","303.6","49.64156347","0","0","0","0","52807.605"
"820","070-025","563946","37.75377","139.82262","37.77804","139.82262","421.3","55.35504458","1","0","2","7","52212.332"
"821","070-026","563947","37.6706","139.90933","37.6845","139.928","275.6","67.19179669","0","0","0","0","48039.164"
